Modèle,MAE (1j),RMSE (1j),QLIKE (1j),MAE (5j),RMSE (5j),QLIKE (5j)
EWM,9.83933847248284,13.406537294918113,,5.5457865261948305,8.32849985253082,
"EGARCH(1,1)",2.309317011477488,3.128790291168357,,,,
"GJR(1,1)",2.8798146939444123,4.278889251302576,,,,
HAR-RV,8.672425566098196,12.65626098091,,5.258936167542989,7.926629436981201,
LSTM,7.783554553985596,11.890775680541992,,4.542500019073486,6.909424781799316,
Blend,7.732511301175457,11.640025439601818,,4.542499670986464,6.909425012405553,
