,n,mean,std,median,p_win
EWM,1141.0,0.058709,0.362495,0.000648,0.5030674846625767
HAR,1141.0,0.127632,0.448827,0.017874,0.5337423312883436
LSTM,1141.0,0.218025,0.384721,0.135961,0.7151621384750219
