pair,n,t_stat,p_value
LSTM vs EWM,1141,46.62524424312598,2.023249457187273e-266
LSTM vs HAR,1141,33.20689039614765,1.055884555281466e-169
Blend vs LSTM,1141,-36.71800227215387,1.9325259039244728e-195
Blend vs EWM,1141,49.258546415396495,1.3218393065203777e-284
HAR vs EWM,1141,25.33734421937893,1.0361539801072303e-112
