date,vol_real,vol_ewm,vol_egarch,vol_gjr
1998-04-28,13.061636444275518,13.211953994219797,12.547998314715919,12.234282809465036
1998-04-29,13.43046976411133,13.251226187844308,13.821253439779785,15.859521066578921
1998-04-30,14.259313544157534,14.195663047664917,13.434726069396072,15.151863713900068
1998-05-01,14.402902715141153,14.135288472220143,13.544727065983908,14.734366841253365
1998-05-04,13.930398781919736,13.709690275001188,14.245697153522608,14.784329757819204
1998-05-05,14.051618952423892,13.486750344879997,14.281066412499415,14.360989655837397
1998-05-06,14.410166313426354,13.590817487445147,13.701476505804697,13.811035244718356
1998-05-07,14.273303473253923,13.622752103688732,13.68258836038433,13.747697252268315
1998-05-08,14.685318309053327,13.982141734949153,13.99209856361415,14.30355380145456
1998-05-11,14.409691735214187,13.566417631479796,14.235245161724533,14.69582425396612
1998-05-12,14.696368219953587,13.53723535396135,14.58469694338575,14.400240191420629
1998-05-13,14.605855119885645,13.168248980008327,14.139372623727347,13.906462610448214
1998-05-14,14.570422195353599,12.777602094122628,14.17352135984395,13.533365309274558
1998-05-15,14.397146636137222,12.750759695310181,13.719529605743572,13.041782058260502
1998-05-18,13.613603321240003,12.404486682416,13.332560405444774,12.62984981549416
1998-05-19,13.677322469716536,12.096534945507727,13.510380557269253,12.97425309473461
1998-05-20,14.002949482702459,12.191377256425968,13.247635906678953,12.6456673315768
1998-05-21,13.987367617258894,11.919735220287041,12.925173133601014,12.222761687855941
1998-05-22,13.647780712110508,11.648152703002268,13.040631674099862,11.951648949714588
1998-05-26,14.139154995249479,12.697097033615357,12.91507837621342,11.807503453287028
1998-05-27,12.381004540542023,12.326749236388263,12.759781404202702,11.642325127412118
1998-05-28,12.469135693397686,12.102429452181525,13.599320710967424,13.916702514014354
1998-05-29,12.305952689740927,11.978558343463163,13.255657784753394,13.466129206494257
1998-06-01,10.908550834592514,11.61378329024206,13.057272084965366,13.02171902503147
1998-06-02,10.45140721705907,11.288190998264492,13.103421453420443,13.0667808282444
1998-06-03,10.815106242958123,11.568671317250159,12.64299934986474,12.625967452917736
1998-06-04,11.564038219535096,12.019926283453382,12.257719137341079,12.213263283040993
1998-06-05,12.704715776210278,13.442824556450054,12.659890724582414,12.997040439870597
1998-06-08,12.251969373886167,13.04943929639533,13.010589509180681,12.79481804092173
1998-06-09,11.613102546019219,12.686505982280796,13.88264853562437,12.969100084401733
1998-06-10,11.781111673781295,12.484304658814246,13.403124980278186,12.51925731239448
1998-06-11,12.673560093935246,13.616669209906759,12.991967160317158,12.090127716233749
1998-06-12,12.720970488608579,13.287972082992757,12.98485928118757,12.129632949257244
1998-06-15,14.358610120834154,15.061804942308104,13.904003623811906,14.628170391094331
1998-06-16,14.714448608194472,15.08957482409779,13.587533452241443,14.104433390276295
1998-06-17,16.05402653216816,16.18269039430182,14.840817368563334,17.504542183726972
1998-06-18,16.010677636065147,15.691854415146933,14.980226867503202,16.97475214743171
1998-06-19,15.7762088997741,15.346748659430185,15.867901964829164,16.937723721192324
1998-06-22,15.767334629672266,14.906621215594212,15.29500496110709,16.211015956031225
1998-06-23,16.556652087985306,15.534542899507711,15.14263653375453,15.900988100945925
1998-06-24,16.029767143230682,15.754923970854822,14.657909710771772,15.296048369085794
1998-06-25,16.078707799794188,15.325020089904475,15.217863989269892,15.108731058792996
1998-06-26,16.04900926538035,14.919127774372477,15.526739300330416,14.79231687731733
1998-06-29,15.830413212739977,14.577559558469671,15.216770818128596,14.38142531026276
1998-06-30,15.961767252217673,14.222784895241178,14.81371567728042,13.858263188957022
1998-07-01,16.41615242465082,14.673360245836525,14.53377174516052,13.425259786450072
1998-07-02,15.913623744138144,14.24482123751265,14.349955538783588,13.258583740866822
1998-07-06,15.814384167557675,14.293498804129348,14.758769523167883,13.118814331522586
1998-07-07,14.969236706001526,13.887131556726137,14.351653755547938,12.786334392133769
1998-07-08,15.248347894846837,14.025051842701524,14.47772224939875,12.546597340446159
1998-07-09,15.551538831858824,13.84710101800907,14.160749893728472,12.208759766408207
1998-07-10,15.364512349350804,13.563526521554673,14.34665123533991,12.053790260669162
1998-07-13,13.885823420067107,13.153460457316864,14.383765542618502,12.29241485639566
1998-07-14,14.13231290341879,13.399588304465432,14.153470140708494,11.928399835970016
1998-07-15,11.536680945013778,13.023615595651611,13.587693863345821,11.447596047010524
1998-07-16,11.434237402656128,12.984531372591752,13.844274658246317,11.357215025415886
1998-07-17,10.28955779901274,12.621485321633552,13.561180276979668,11.08749393852387
1998-07-20,10.379776337528307,12.267819641178843,13.585287970395152,10.87955068897675
1998-07-21,12.06973619783271,13.459547188982611,13.163067541777473,10.500637746802775
1998-07-22,12.132397746770208,13.053701020138671,12.887696008602084,10.28190078924833
1998-07-23,13.847249611534693,15.087477801568316,13.821482836140195,13.305993686696624
1998-07-24,13.254420358366115,14.63223448422626,13.421957444429541,12.902242617770604
1998-07-27,13.312612351815206,14.355907485583824,14.729491266363503,16.696506940695727
1998-07-28,14.330090426215481,15.084554881035203,14.176434533357446,16.030345912062696
1998-07-29,14.29476060204343,14.727499369451937,14.003962756729349,15.550596350050833
1998-07-30,15.280831000412732,15.520444305093426,14.749482275746375,17.080457360207273
1998-07-31,16.06633350741517,16.882713148767102,14.584848491242742,16.671532899151444
1998-08-03,16.208902768418394,16.61744303559583,15.224828584714759,16.51680141754946
1998-08-04,19.836634188800247,21.578801212740217,16.34796323028021,19.296843335204457
1998-08-05,20.287283938211928,21.189843317456962,16.327848137398693,19.021015133448298
1998-08-06,20.096592005337246,20.75323075947981,19.178516388009044,27.882237861009628
