alpha,beta_d,beta_w,beta_m,date
4.312904304695559,0.040516477678982234,0.15599327107197936,0.3811048112685072,1998-05-27
4.316425842623807,0.0410435478951181,0.15560121439251745,0.3807636944215093,1998-05-28
4.3192098920190265,0.0407662157866737,0.15587084171226967,0.38064837275716434,1998-05-29
4.323936900184254,0.04070689032931331,0.15592025835267387,0.38071782023842854,1998-06-01
4.330736124458669,0.03994725806105867,0.15657557434863734,0.3806659761336535,1998-06-02
4.343624939429806,0.039865855002186694,0.1551704127442871,0.38166480864712027,1998-06-03
4.354926062180816,0.04086663851077438,0.1535443504094106,0.3821572794264825,1998-06-04
4.365448673247332,0.04145918138976705,0.1527548835708702,0.3823192212268503,1998-06-05
4.37140269929202,0.04103673547406015,0.1525140401085076,0.3826755964686045,1998-06-08
4.375155161597621,0.03983226624495662,0.1548346406812416,0.38168583352376706,1998-06-09
4.378822407453001,0.03857087192727367,0.15772870033343417,0.38020044022236504,1998-06-10
4.386057322798051,0.03787327542799738,0.16069681420802084,0.37811833145161833,1998-06-11
4.38460022248616,0.03923643623773567,0.16165521300453045,0.3767404784378589,1998-06-12
4.384442643954668,0.03863803877425171,0.16299124860535436,0.3764521817927171,1998-06-15
4.386184477926687,0.039233185972245455,0.1626483420648815,0.3763757560332451,1998-06-16
4.383690099440175,0.03918978942321475,0.163596818245608,0.3759423738759644,1998-06-17
4.383453488893873,0.03911797788541302,0.16320210587371187,0.3762582890288491,1998-06-18
4.383713387864457,0.038972226701177004,0.16352920345260707,0.37611539275146777,1998-06-19
4.387825434337914,0.03907531970736672,0.1637640725225512,0.37561228198829877,1998-06-22
4.386914108200997,0.03886747456809936,0.1639874132152876,0.37575883928679876,1998-06-23
4.392330295307238,0.03833380370003183,0.16410145769313406,0.3753422156910886,1998-06-24
4.395767898840564,0.0380004922217153,0.16451146638029995,0.3747069684989237,1998-06-25
4.389215369054553,0.038670303922133206,0.16381425583444836,0.3749803756929016,1998-06-26
4.38047622639078,0.0387739926019635,0.16375429660848817,0.37540575378346647,1998-06-29
4.376037249864918,0.038672306319555344,0.16373245168027972,0.37564879061818857,1998-06-30
4.374950871891972,0.03863150529308949,0.16348566646832424,0.3761175340178249,1998-07-01
4.375563767462206,0.038324080380990326,0.1640375552647526,0.3755998526829099,1998-07-02
4.385153224294077,0.039447458863566244,0.16443042172283145,0.37393699637543465,1998-07-06
4.3937311512858805,0.03872738007414395,0.1659711823637322,0.3722535503744492,1998-07-07
4.3990766796382665,0.038417909488302884,0.16669442451550337,0.3715386150857925,1998-07-08
4.405513769828195,0.03796641858493681,0.16720044308380744,0.37081597165962343,1998-07-09
4.412668226468437,0.037842082598535345,0.16774520027622358,0.3698732911959884,1998-07-10
4.416722531784102,0.03789716797670062,0.16769951010526246,0.36942511709581405,1998-07-13
4.422596138363909,0.03842669947217765,0.16730037222904315,0.3689704142086987,1998-07-14
4.425612618287169,0.038352128435977885,0.1670967108351718,0.36914623057322826,1998-07-15
4.4289779227727255,0.03821367733192761,0.16673455083972594,0.36957064522184535,1998-07-16
4.433410879421221,0.03857833967897081,0.16558448264587106,0.3706383546872668,1998-07-17
4.439861705184522,0.03814386019299173,0.16505804063704993,0.37160713424738034,1998-07-20
4.452053191347612,0.037650074699259815,0.16492324453554935,0.37182779138003896,1998-07-21
4.457547472931346,0.03924509863209558,0.16389563831988102,0.37169363417216605,1998-07-22
4.464497930860601,0.03803444689873186,0.1652351639152445,0.37143420065175103,1998-07-23
4.467140781499722,0.03854014564266668,0.1652293509389524,0.37109791619351357,1998-07-24
4.474384372253953,0.03694409426044591,0.16884929558912354,0.3691744372523611,1998-07-27
4.484740583699775,0.036158658755620604,0.17197621181776485,0.3668860093611917,1998-07-28
4.487523027676003,0.03869192632366157,0.1743981364078412,0.3640381076119925,1998-07-29
4.490651945292972,0.03596072342324378,0.18149230313017717,0.360857075038273,1998-07-30
4.488569131440238,0.038893010174262145,0.18082259559327063,0.3609380922739609,1998-07-31
4.47966189426283,0.04142573615106507,0.18190717129044476,0.3598200536245051,1998-08-03
4.472031110791149,0.0401848780801671,0.1864596771159398,0.35824885189343303,1998-08-04
4.501022164888878,0.03696041709033388,0.18486402259206414,0.3594292843488552,1998-08-05
