,pnl,pnl,pnl,ret,ret,ret,ret
,mean,std,count,mean,std,count,sharpe_like
model,,,,,,,
Blend,24.800547718703587,57.19062010773193,1141,0.2180250208346332,0.3847210798440863,1141,0.5667093181440025
LSTM,24.800547648510417,57.19061979901119,1141,0.2180250191763402,0.38472107602294486,1141,0.5667093194623173
HAR,10.316226563446817,64.25549906639853,1141,0.1276323454311927,0.4488265599310624,1141,0.28436896749272605
EWM,2.6258806544705062,63.480123790878466,1141,0.058708964418184115,0.3624947299013778,1141,0.1619581184918049
