pair,n,t_stat,p_value
LSTM vs EWM,1141,24.447677032026764,1.8035434794228644e-106
LSTM vs HAR,1141,10.390286225927445,3.1820792813991955e-24
Blend vs LSTM,1141,1.5522426840378634,0.12088172145134372
Blend vs EWM,1141,24.44767722998888,1.803537743533196e-106
HAR vs EWM,1141,8.614407645393602,2.308637146512941e-17
