date,close,high,low,open,volume,adj_close
1993-01-29,24.380441665649414,24.397781951329105,24.27639995157125,24.397781951329105,1003200,24.380441665649414
1993-02-01,24.553842544555664,24.553842544555664,24.39777998600976,24.39777998600976,480500,24.553842544555664
1993-02-02,24.60586929321289,24.623209581650674,24.484487274148414,24.536508139461763,201300,24.60586929321289
1993-02-03,24.86597442626953,24.883314715269723,24.6232103802669,24.64055066926709,529400,24.86597442626953
1993-02-04,24.97001838684082,25.02203925848007,24.675233447551726,24.952678096294402,531500,24.97001838684082
1993-02-05,24.952669143676758,25.004689996651763,24.813946869076748,24.952669143676758,492100,24.952669143676758
1993-02-08,24.952669143676758,25.039370565301763,24.917988575026754,24.952669143676758,596100,24.952669143676758
1993-02-09,24.779272079467773,24.865973521313354,24.72725121436042,24.865973521313354,122100,24.779272079467773
1993-02-10,24.813961029052734,24.831301323272896,24.70991926373176,24.779280440612407,379600,24.813961029052734
1993-02-11,24.935333251953125,25.039374976231095,24.84863181505482,24.84863181505482,19500,24.935333251953125
1993-02-12,24.74458885192871,24.900651430532328,24.74458885192871,24.900651430532328,42500,24.74458885192871
1993-02-16,24.12034034729004,24.675229557292397,24.08565977166489,24.675229557292397,374800,24.12034034729004
1993-02-17,24.102985382080078,24.155006213839965,24.016283995813605,24.120325659333375,210900,24.102985382080078
1993-02-18,24.085649490356445,24.38043425733705,23.756184162554593,24.38043425733705,378100,24.085649490356445
1993-02-19,24.172359466552734,24.172359466552734,24.05097746062313,24.085658033745872,34900,24.172359466552734
1993-02-22,24.259065628051758,24.293746207934607,24.17236417834464,24.241725338110335,513600,24.259065628051758
1993-02-23,24.241727828979492,24.34576957931846,24.120345786917362,24.3284292875953,373700,24.241727828979492
1993-02-24,24.553842544555664,24.553842544555664,24.259057711746735,24.259057711746735,26300,24.553842544555664
1993-02-25,24.60586929321289,24.623209581650674,24.484487274148414,24.536508139461763,44500,24.60586929321289
1993-02-26,24.640548706054688,24.657888993673307,24.51916669272437,24.657888993673307,66200,24.640548706054688
1993-03-01,24.571170806884766,24.72723328907387,24.536490255287184,24.72723328907387,66500,24.571170806884766
1993-03-02,24.935333251953125,24.935333251953125,24.553846929600574,24.5885275043599,182400,24.935333251953125
